ua01_id_punktu_adresowego,ua02_id_pe,ua03_id_po,ua04_terc,ua05_simc,ua06_ulic,ua07_nr_porzadkowy,ua08_szerokosc,ua09_dlugosc,ua10_medium_dochodzace_do_pa,ua11_technologia_dostepowa,ua12_instalacja_telekom,ua13_medium_instalacji_budynku,ua14_technologia_dostepowa,ua15_identyfikacja_uslugi,ua16_dostep_stacjonarny,ua17_dostep_stacjonarny_bezprzewodowy,ua18_telewizja_cyfrowa,ua19_radio,ua20_usluga_telefoniczna,ua21_predkosc_uslugi_td,ua22_liczba_uzytkownikow_uslugi_td
"AD0030","P0049","","2205085","0177230","","3A","54.3626","18.4329","radiowe","WiFi - 802.11ac w paśmie 5GHz","","","","SPE_1_W49_2","Nie","Tak","Nie","Nie","Nie","07","1"
"AD0031","P0050","","2205085","0177247","13706","26","54.3544","18.4245","radiowe","WiFi - 802.11ac w paśmie 5GHz","","","","SPE_1_W50_1","Nie","Tak","Nie","Nie","Nie","03","1"
"AD0032","P0051","","2205085","0177276","20254","21","54.3610","18.3680","radiowe","WiFi - 802.11ac w paśmie 5GHz","","","","SPE_1_W51_1","Nie","Tak","Nie","Nie","Nie","03","2"
"AD0033","P0051","","2205085","0177276","20254","21","54.3610","18.3680","radiowe","WiFi - 802.11ac w paśmie 5GHz","","","","SPE_1_W51_2","Nie","Tak","Nie","Nie","Nie","06","1"
"AD0034","P0053","","2205085","0177276","15590","3A","54.3698","18.3553","radiowe","WiFi - 802.11ac w paśmie 5GHz","","","","SPE_1_W53_1","Nie","Tak","Nie","Nie","Nie","03","3"
"AD0035","P0053","","2205085","0177276","15590","3A","54.3698","18.3553","radiowe","WiFi - 802.11ac w paśmie 5GHz","","","","SPE_1_W53_2","Nie","Tak","Nie","Nie","Nie","05","1"
"AD0036","P0054","","2205085","0177371","05431","75F","54.3740","18.3821","radiowe","WiFi - 802.11ac w paśmie 5GHz","","","","SPE_1_W54_1","Nie","Tak","Nie","Nie","Nie","05","3"
"AD0037","P0054","","2205085","0177371","05431","75F","54.3740","18.3821","radiowe","WiFi - 802.11ac w paśmie 5GHz","","","","SPE_1_W54_2","Nie","Tak","Nie","Nie","Nie","03","3"
"AD0038","P0054","","2205085","0177371","05431","75F","54.3740","18.3821","radiowe","WiFi - 802.11ac w paśmie 5GHz","","","","SPE_1_W54_3","Nie","Tak","Nie","Nie","Nie","07","1"
"AD0039","P0055","","2205085","0177388","","193","54.2849","18.3293","radiowe","WiFi - 802.11ac w paśmie 5GHz","","","","SPE_1_W55_1","Nie","Tak","Nie","Nie","Nie","03","2"
"AD0040","P0056","","2205085","0177454","20254","43","54.2916","18.3567","radiowe","WiFi - 802.11ac w paśmie 5GHz","","","","SPE_1_W56_1","Nie","Tak","Nie","Nie","Nie","04","1"
"AD0041","P0056","","2205085","0177454","20254","43","54.2916","18.3567","radiowe","WiFi - 802.11ac w paśmie 5GHz","","","","SPE_1_W56_2","Nie","Tak","Nie","Nie","Nie","03","2"
"AD0042","P0061","","2261011","0933016","11110","16","54.3451","18.5073","radiowe","WiFi - 802.11ac w paśmie 5GHz","","","","SPE_1_W61_1","Nie","Tak","Nie","Nie","Nie","03","1"
"AD0043","P0062","","2261011","0933016","07804","27","54.3534","18.5126","radiowe","WiFi - 802.11ac w paśmie 5GHz","","","","SPE_1_W62_1","Nie","Tak","Nie","Nie","Nie","03","1"
"AD0044","P0064","","2261011","0933016","39822","16","54.3486","18.4718","radiowe","WiFi - 802.11ac w paśmie 5GHz","","","","SPE_1_W64_1","Nie","Tak","Nie","Nie","Nie","04","1"
"AD0045","P0066","","2205085","0177164","","23","54.3313","18.3423","radiowe","WiFi - 802.11ac w paśmie 5GHz","","","","SPE_1_W66_1","Nie","Tak","Nie","Nie","Nie","05","1"
"AD0046","P0067","","2205085","0177276","26081","39","54.3693","18.3265","radiowe","WiFi - 802.11ac w paśmie 5GHz","","","","SPE_1_W67_1","Nie","Tak","Nie","Nie","Nie","03","1"
"AD0047","P0068","","2205032","0169680","20683","7","54.3822","18.2894","radiowe","WiFi - 802.11ac w paśmie 5GHz","","","","SPE_1_W68_1","Nie","Tak","Nie","Nie","Nie","03","2"
"AD0048","P0069","","2205032","0169680","10562","5","54.3737","18.2840","radiowe","WiFi - 802.11ac w paśmie 5GHz","","","","SPE_1_W69_1","Nie","Tak","Nie","Nie","Nie","03","3"
"AD0049","P0071","","2205032","0169874","42307","2","54.3931","18.2551","radiowe","WiFi - 802.11ac w paśmie 5GHz","","","","SPE_1_W71_1","Nie","Tak","Nie","Nie","Nie","03","1"
"AD0050","P0072","","2205032","0169756","07535","37","54.3577","18.3023","radiowe","WiFi - 802.11ac w paśmie 5GHz","","","","SPE_1_W72_1","Nie","Tak","Nie","Nie","Nie","03","1"
"AD0051","P0072","","2205032","0169756","07535","37","54.3577","18.3023","radiowe","WiFi - 802.11ac w paśmie 5GHz","","","","SPE_1_W72_2","Nie","Tak","Nie","Nie","Nie","05","1"
"AD0052","P0074","","2205032","0169526","14372","25","54.3996","18.2270","radiowe","WiFi - 802.11ac w paśmie 5GHz","","","","SPE_1_W74_1","Nie","Tak","Nie","Nie","Nie","03","1"
"AD0053","P0084","","2205032","0169845","08574","88","54.4136","18.3406","radiowe","WiFi - 802.11ac w paśmie 5GHz","","","","SPE_1_W84_1","Nie","Tak","Nie","Nie","Nie","03","3"
"AD0054","P0086","","2205085","0177313","47019","24","54.3868","18.3623","radiowe","WiFi - 802.11ac w paśmie 5GHz","","","","SPE_1_W86_1","Nie","Tak","Nie","Nie","Nie","05","2"
"AD0055","P0086","","2205085","0177313","47019","24","54.3868","18.3623","radiowe","WiFi - 802.11ac w paśmie 5GHz","","","","SPE_1_W86_2","Nie","Tak","Nie","Nie","Nie","03","1"
"AD0056","P0087","","2205085","0177313","05441","32","54.3810","18.3622","radiowe","WiFi - 802.11ac w paśmie 5GHz","","","","SPE_1_W87_1","Nie","Tak","Nie","Nie","Nie","05","1"
"AD0057","P0087","","2205085","0177313","05441","32","54.3810","18.3622","radiowe","WiFi - 802.11ac w paśmie 5GHz","","","","SPE_1_W87_2","Nie","Tak","Nie","Nie","Nie","03","1"
"AD0058","P0093","","2205085","0177402","20254","28B","54.3149","18.3780","radiowe","WiFi - 802.11ac w paśmie 5GHz","","","","SPE_1_W93_1","Nie","Tak","Nie","Nie","Nie","02","1"
"AD0059","P0094","","2205085","1014464","","15B","54.3336","18.4038","radiowe","WiFi - 802.11ac w paśmie 5GHz","","","","SPE_1_W94_1","Nie","Tak","Nie","Nie","Nie","03","1"
"AD0060","P0096","","2205062","0174125","19335","4","54.2102","17.9380","radiowe","WiFi - 802.11ac w paśmie 5GHz","","","","SPE_1_W96_1","Nie","Tak","Nie","Nie","Nie","02","1"
"AD0061","P0096","","2205062","0174125","19335","4","54.2102","17.9380","radiowe","WiFi - 802.11ac w paśmie 5GHz","","","","SPE_1_W96_2","Nie","Tak","Nie","Nie","Nie","05","1"
"AD0062","P0097","","2205032","0169584","21271","52","54.4194","18.2777","radiowe","WiFi - 802.11ac w paśmie 5GHz","","","","SPE_1_W97_1","Nie","Tak","Nie","Nie","Nie","03","1"
"AD0063","P0099","","2215092","0990971","13283","9","54.4601","18.2853","radiowe","WiFi - 802.11ac w paśmie 5GHz","","","","SPE_1_W99_1","Nie","Tak","Nie","Nie","Nie","03","2"
"AD0064","P0101","","2205032","0169762","","55","54.3876","18.2213","radiowe","WiFi - 802.11ac w paśmie 5GHz","","","","SPE_1_W101_1","Nie","Tak","Nie","Nie","Nie","03","2"
"AD0065","P0102","","2205085","0991380","41348","21","54.3179","18.3374","radiowe","WiFi - 802.11ac w paśmie 5GHz","","","","SPE_1_W102_1","Nie","Tak","Nie","Nie","Nie","03","1"
"AD0066","P0103","","2205025","0163699","","28","54.3378","18.2907","radiowe","WiFi - 802.11ac w paśmie 5GHz","","","","SPE_1_W103_1","Nie","Tak","Nie","Nie","Nie","03","1"
"AD0067","P0106","","2205032","0169868","02566","14B","54.4190","18.3512","radiowe","WiFi - 802.11ac w paśmie 5GHz","","","","SPE_1_W106_1","Nie","Tak","Nie","Nie","Nie","05","1"
"AD0068","P0106","","2205032","0169868","02566","14B","54.4190","18.3512","radiowe","WiFi - 802.11ac w paśmie 5GHz","","","","SPE_1_W106_2","Nie","Tak","Nie","Nie","Nie","03","1"
"AD0069","P0107","","2205085","0177477","05441","29A","54.4195","18.3767","radiowe","WiFi - 802.11ac w paśmie 5GHz","","","","SPE_1_W107_1","Nie","Tak","Nie","Nie","Nie","03","1"
"AD0070","P0107","","2205085","0177477","05441","29A","54.4195","18.3767","radiowe","WiFi - 802.11ac w paśmie 5GHz","","","","SPE_1_W107_2","Nie","Tak","Nie","Nie","Nie","05","1"
"AD0071","P0108","","2215092","0175461","20998","14","54.4395","18.3496","radiowe","WiFi - 802.11ac w paśmie 5GHz","","","","SPE_1_W108_1","Nie","Tak","Nie","Nie","Nie","05","1"
"AD0072","P0109","","2205085","0177112","18049","179","54.3924","18.3829","radiowe","WiFi - 802.11ac w paśmie 5GHz","","","","SPE_1_W109_1","Nie","Tak","Nie","Nie","Nie","06","1"
"AD0073","P0109","","2205085","0177112","18049","179","54.3924","18.3829","radiowe","WiFi - 802.11ac w paśmie 5GHz","","","","SPE_1_W109_2","Nie","Tak","Nie","Nie","Nie","03","1"
"AD0074","P0113","","2205032","0169489","16742","9","54.4198","18.3190","radiowe","WiFi - 802.11ac w paśmie 5GHz","","","","SPE_1_W113_1","Nie","Tak","Nie","Nie","Nie","03","4"
"AD0075","P0115","","2205032","0169845","17798","48","54.3994","18.3317","radiowe","WiFi - 802.11ac w paśmie 5GHz","","","","SPE_1_W115_1","Nie","Tak","Nie","Nie","Nie","03","3"
"AD0076","P0115","","2205032","0169845","17798","48","54.3994","18.3317","radiowe","WiFi - 802.11ac w paśmie 5GHz","","","","SPE_1_W115_2","Nie","Tak","Nie","Nie","Nie","05","1"
