we01_id_wezla,we02_tytul_do_wezla,we03_id_podmiotu_obcego,we04_terc,we05_simc,we06_ulic,we07_nr_porzadkowy,we08_szerokosc,we09_dlugosc,we10_medium_transmisyjne,we11_bsa,we12_technologia_dostepowa,we13_uslugi_transmisji_danych,we14_mozliwosc_zwiekszenia_liczby_interfejsow,we15_finansowanie_publ,we16_numery_projektow_publ,we17_infrastruktura_o_duzym_znaczeniu,we18_typ_interfejsu,we19_udostepnianie_ethernet
W37,Węzeł własny,,2204052,0170140,22003,20,54.2040,18.2776,radiowe,Nie,WiFi - 802.11ac w paśmie 5GHz,,Nie,Nie,,Nie,,
W38,Węzeł własny,,2204052,0170067,24870,9,54.2178,18.2551,radiowe,Nie,WiFi - 802.11ac w paśmie 5GHz,,Nie,Nie,,Nie,,
W39,Węzeł własny,,2204052,0170044,21970,4,54.2326,18.2696,radiowe,Nie,WiFi - 802.11ac w paśmie 5GHz,,Nie,Nie,,Nie,,
W40,Węzeł własny,,2205052,1014441,,5,54.2594,18.2507,radiowe,Nie,WiFi - 802.11ac w paśmie 5GHz,,Nie,Nie,,Nie,,
W41,Węzeł własny,,2205052,1014441,,35,54.2746,18.2462,radiowe,Nie,WiFi - 802.11ac w paśmie 5GHz,,Nie,Nie,,Nie,,
W42,Węzeł własny,,2205052,0172385,20998,24,54.2707,18.2876,radiowe,Nie,WiFi - 802.11ac w paśmie 5GHz,,Nie,Nie,,Nie,,
W43,Węzeł własny,,2261011,0933016,21620,12,54.3475,18.4810,radiowe,Nie,WiFi - 802.11ac w paśmie 5GHz,,Nie,Nie,,Nie,,
W44,Węzeł własny,,2261011,0933016,12618,1,54.4121,18.4458,radiowe,Nie,WiFi - 802.11ac w paśmie 5GHz,,Nie,Nie,,Nie,,
W45,Węzeł własny,,2261011,0933016,14535,7a,54.4175,18.4561,radiowe,Nie,WiFi - 802.11ac w paśmie 5GHz,,Nie,Nie,,Nie,,
W46,Węzeł własny,,2261011,0933016,20254,39A,54.3761,18.4296,radiowe,Nie,WiFi - 802.11ac w paśmie 5GHz,,Nie,Nie,,Nie,,
W47,Węzeł własny,,2205085,0177448,17534,14,54.3815,18.4278,radiowe,Nie,WiFi - 802.11ac w paśmie 5GHz,,Nie,Nie,,Nie,,
W48,Węzeł własny,,2205085,0177448,00765,25,54.3921,18.4294,radiowe,Nie,WiFi - 802.11ac w paśmie 5GHz,,Nie,Nie,,Nie,,
W49,Węzeł własny,,2205085,0177230,,3A,54.3626,18.4329,radiowe,Nie,WiFi - 802.11ac w paśmie 5GHz,,Nie,Nie,,Nie,,
W50,Węzeł własny,,2205085,0177247,13706,26,54.3544,18.4245,radiowe,Nie,WiFi - 802.11ac w paśmie 5GHz,,Nie,Nie,,Nie,,
W51,Węzeł własny,,2205085,0177276,20254,21,54.3610,18.3680,radiowe,Nie,WiFi - 802.11ac w paśmie 5GHz,,Nie,Nie,,Nie,,
W52,Węzeł własny,,2205085,0177371,06075,25,54.3648,18.3790,radiowe,Nie,WiFi - 802.11ac w paśmie 5GHz,,Nie,Nie,,Nie,,
W53,Węzeł własny,,2205085,0177276,15590,3A,54.3698,18.3553,radiowe,Nie,WiFi - 802.11ac w paśmie 5GHz,,Nie,Nie,,Nie,,
W54,Węzeł własny,,2205085,0177371,05431,75F,54.3740,18.3821,radiowe,Nie,WiFi - 802.11ac w paśmie 5GHz,,Nie,Nie,,Nie,,
W55,Węzeł własny,,2205085,0177388,,193,54.2849,18.3293,radiowe,Nie,WiFi - 802.11ac w paśmie 5GHz,,Nie,Nie,,Nie,,
W56,Węzeł własny,,2205085,0177454,20254,43,54.2916,18.3567,radiowe,Nie,WiFi - 802.11ac w paśmie 5GHz,,Nie,Nie,,Nie,,
W57,Węzeł własny,,2205085,0177106,,21,54.2978,18.3109,radiowe,Nie,WiFi - 802.11ac w paśmie 5GHz,,Nie,Nie,,Nie,,
W58,Węzeł własny,,2205025,0163245,,3,54.3445,18.2345,radiowe,Nie,WiFi - 802.11ac w paśmie 5GHz,,Nie,Nie,,Nie,,
W59,Węzeł własny,,2205085,0177402,07535,12,54.3017,18.3989,radiowe,Nie,WiFi - 802.11ac w paśmie 5GHz,,Nie,Nie,,Nie,,
W60,Węzeł własny,,2205085,0177247,03572,23,54.3499,18.4569,radiowe,Nie,WiFi - 802.11ac w paśmie 5GHz,,Nie,Nie,,Nie,,
W61,Węzeł własny,,2261011,0933016,11110,16,54.3451,18.5073,radiowe,Nie,WiFi - 802.11ac w paśmie 5GHz,,Nie,Nie,,Nie,,
W62,Węzeł własny,,2261011,0933016,07804,27,54.3534,18.5126,radiowe,Nie,WiFi - 802.11ac w paśmie 5GHz,,Nie,Nie,,Nie,,
W63,Węzeł własny,,2261011,0933016,05860,76,54.3453,18.4916,radiowe,Nie,WiFi - 802.11ac w paśmie 5GHz,,Nie,Nie,,Nie,,
W64,Węzeł własny,,2261011,0933016,39822,16,54.3486,18.4718,radiowe,Nie,WiFi - 802.11ac w paśmie 5GHz,,Nie,Nie,,Nie,,
W65,Węzeł własny,,2205085,0177514,31475,15C,54.3466,18.3257,radiowe,Nie,WiFi - 802.11ac w paśmie 5GHz,,Nie,Nie,,Nie,,
W66,Węzeł własny,,2205085,0177164,,23,54.3313,18.3423,radiowe,Nie,WiFi - 802.11ac w paśmie 5GHz,,Nie,Nie,,Nie,,
W67,Węzeł własny,,2205085,0177276,26081,39,54.3693,18.3265,radiowe,Nie,WiFi - 802.11ac w paśmie 5GHz,,Nie,Nie,,Nie,,
W68,Węzeł własny,,2205032,0169680,20683,7,54.3822,18.2894,radiowe,Nie,WiFi - 802.11ac w paśmie 5GHz,,Nie,Nie,,Nie,,
W69,Węzeł własny,,2205032,0169680,10562,5,54.3737,18.2840,radiowe,Nie,WiFi - 802.11ac w paśmie 5GHz,,Nie,Nie,,Nie,,
W70,Węzeł własny,,2205085,1014464,,22,54.3359,18.4074,radiowe,Nie,WiFi - 802.11ac w paśmie 5GHz,,Nie,Nie,,Nie,,
W71,Węzeł własny,,2205032,0169874,42307,2,54.3931,18.2551,radiowe,Nie,WiFi - 802.11ac w paśmie 5GHz,,Nie,Nie,,Nie,,
W72,Węzeł własny,,2205032,0169756,07535,37,54.3577,18.3023,radiowe,Nie,WiFi - 802.11ac w paśmie 5GHz,,Nie,Nie,,Nie,,
W73,Węzeł własny,,2205032,0169874,03839,77,54.3874,18.2403,radiowe,Nie,WiFi - 802.11ac w paśmie 5GHz,,Nie,Nie,,Nie,,
W74,Węzeł własny,,2205032,0169526,14372,25,54.3996,18.2270,radiowe,Nie,WiFi - 802.11ac w paśmie 5GHz,,Nie,Nie,,Nie,,
W75,Węzeł własny,,2205032,0169650,07380,2,54.4173,18.2032,radiowe,Nie,WiFi - 802.11ac w paśmie 5GHz,,Nie,Nie,,Nie,,
W76,Węzeł własny,,2215092,0175343,04446,1,54.4312,18.2840,radiowe,Nie,WiFi - 802.11ac w paśmie 5GHz,,Nie,Nie,,Nie,,
W77,Węzeł własny,,2205032,0169489,05431,8,54.4136,18.3145,radiowe,Nie,WiFi - 802.11ac w paśmie 5GHz,,Nie,Nie,,Nie,,
W78,Węzeł własny,,2205032,0169851,20254,7,54.4055,18.3475,radiowe,Nie,WiFi - 802.11ac w paśmie 5GHz,,Nie,Nie,,Nie,,
