ua01_id_punktu_adresowego,ua02_id_pe,ua03_id_po,ua04_terc,ua05_simc,ua06_ulic,ua07_nr_porzadkowy,ua08_szerokosc,ua09_dlugosc,ua10_medium_dochodzace_do_pa,ua11_technologia_dostepowa,ua12_instalacja_telekom,ua13_medium_instalacji_budynku,ua14_technologia_dostepowa,ua15_identyfikacja_uslugi,ua16_dostep_stacjonarny,ua17_dostep_stacjonarny_bezprzewodowy,ua18_telewizja_cyfrowa,ua19_radio,ua20_usluga_telefoniczna,ua21_predkosc_uslugi_td,ua22_liczba_uzytkownikow_uslugi_td
PAW59_1,PE_1_W59,AIRNETSPZOO,2205085,0177402,07535,12,54.3017,18.3989,radiowe,WiFi - 802.11ac w paśmie 5GHz,,,,SPE_1_W59_1,Nie,Tak,Nie,Nie,Nie,03,1
PAW64_1,PE_1_W64,AIRNETSPZOO,2261011,0933016,39822,16,54.3486,18.4718,radiowe,WiFi - 802.11ac w paśmie 5GHz,,,,SPE_1_W64_1,Nie,Tak,Nie,Nie,Nie,03,1
PAW65_1,PE_1_W65,AIRNETSPZOO,2205085,0177514,31475,15C,54.3466,18.3257,radiowe,WiFi - 802.11ac w paśmie 5GHz,,,,SPE_1_W65_1,Nie,Tak,Nie,Nie,Nie,02,1
PAW68_1,PE_1_W68,AIRNETSPZOO,2205032,0169680,20683,7,54.3822,18.2894,radiowe,WiFi - 802.11ac w paśmie 5GHz,,,,SPE_1_W68_1,Nie,Tak,Nie,Nie,Nie,03,1
PAW68_2,PE_1_W68,AIRNETSPZOO,2205032,0169680,20683,7,54.3822,18.2894,radiowe,WiFi - 802.11ac w paśmie 5GHz,,,,SPE_1_W68_2,Nie,Tak,Nie,Nie,Nie,05,1
PAW69_1,PE_1_W69,AIRNETSPZOO,2205032,0169680,10562,5,54.3737,18.2840,radiowe,WiFi - 802.11ac w paśmie 5GHz,,,,SPE_1_W69_1,Nie,Tak,Nie,Nie,Nie,02,1
PAW72_1,PE_1_W72,AIRNETSPZOO,2205032,0169756,07535,37,54.3577,18.3023,radiowe,WiFi - 802.11ac w paśmie 5GHz,,,,SPE_1_W72_1,Nie,Tak,Nie,Nie,Nie,03,1
PAW75_1,PE_1_W75,AIRNETSPZOO,2205032,0169650,07380,2,54.4173,18.2032,radiowe,WiFi - 802.11ac w paśmie 5GHz,,,,SPE_1_W75_1,Nie,Tak,Nie,Nie,Nie,02,1
PAW77_1,PE_1_W77,AIRNETSPZOO,2205032,0169489,05431,8,54.4136,18.3145,radiowe,WiFi - 802.11ac w paśmie 5GHz,,,,SPE_1_W77_1,Nie,Tak,Nie,Nie,Nie,05,1
PAW77_2,PE_1_W77,AIRNETSPZOO,2205032,0169489,05431,8,54.4136,18.3145,radiowe,WiFi - 802.11ac w paśmie 5GHz,,,,SPE_1_W77_2,Nie,Tak,Nie,Nie,Nie,02,1
PAW77_3,PE_1_W77,AIRNETSPZOO,2205032,0169489,05431,8,54.4136,18.3145,radiowe,WiFi - 802.11ac w paśmie 5GHz,,,,SPE_1_W77_3,Nie,Tak,Nie,Nie,Nie,04,1
PAW80_1,PE_1_W80,AIRNETSPZOO,2215092,0175337,20598,2,54.4374,18.2524,radiowe,WiFi - 802.11ac w paśmie 5GHz,,,,SPE_1_W80_1,Nie,Tak,Nie,Nie,Nie,03,1
PAW84_1,PE_1_W84,AIRNETSPZOO,2205032,0169845,08574,88,54.4136,18.3406,radiowe,WiFi - 802.11ac w paśmie 5GHz,,,,SPE_1_W84_1,Nie,Tak,Nie,Nie,Nie,05,1
PAW85_1,PE_1_W85,AIRNETSPZOO,2205085,0177282,,39,54.4057,18.3646,radiowe,WiFi - 802.11ac w paśmie 5GHz,,,,SPE_1_W85_1,Nie,Tak,Nie,Nie,Nie,03,1
PAW86_1,PE_1_W86,AIRNETSPZOO,2205085,0177313,47019,24,54.3868,18.3623,radiowe,WiFi - 802.11ac w paśmie 5GHz,,,,SPE_1_W86_1,Nie,Tak,Nie,Nie,Nie,05,1
PAW87_1,PE_1_W87,AIRNETSPZOO,2205085,0177313,05441,32,54.3810,18.3622,radiowe,WiFi - 802.11ac w paśmie 5GHz,,,,SPE_1_W87_1,Nie,Tak,Nie,Nie,Nie,05,1
PAW87_2,PE_1_W87,AIRNETSPZOO,2205085,0177313,05441,32,54.3810,18.3622,radiowe,WiFi - 802.11ac w paśmie 5GHz,,,,SPE_1_W87_2,Nie,Tak,Nie,Nie,Nie,03,1
PAW88_1,PE_1_W88,AIRNETSPZOO,2205085,0177247,20254,26,54.3380,18.4342,radiowe,WiFi - 802.11ac w paśmie 5GHz,,,,SPE_1_W88_1,Nie,Tak,Nie,Nie,Nie,02,1
PAW93_1,PE_1_W93,AIRNETSPZOO,2205085,0177402,20254,28B,54.3149,18.3780,radiowe,WiFi - 802.11ac w paśmie 5GHz,,,,SPE_1_W93_1,Nie,Tak,Nie,Nie,Nie,03,1
PAW100_1,PE_1_W100,AIRNETSPZOO,2261011,0933016,05272,23,54.4262,18.4862,radiowe,WiFi - 802.11ac w paśmie 5GHz,,,,SPE_1_W100_1,Nie,Tak,Nie,Nie,Nie,05,1
PAW105_1,PE_1_W105,AIRNETSPZOO,2205032,0169868,08171,33,54.4233,18.3584,radiowe,WiFi - 802.11ac w paśmie 5GHz,,,,SPE_1_W105_1,Nie,Tak,Nie,Nie,Nie,02,1
PAW110_1,PE_1_W110,AIRNETSPZOO,2205085,0177477,14834,3,54.4293,18.3887,radiowe,WiFi - 802.11ac w paśmie 5GHz,,,,SPE_1_W110_1,Nie,Tak,Nie,Nie,Nie,03,1
PAW110_2,PE_1_W110,AIRNETSPZOO,2205085,0177477,14834,3,54.4293,18.3887,radiowe,WiFi - 802.11ac w paśmie 5GHz,,,,SPE_1_W110_2,Nie,Tak,Nie,Nie,Nie,04,1
PAW113_1,PE_1_W113,AIRNETSPZOO,2205032,0169489,16742,9,54.4198,18.3190,radiowe,WiFi - 802.11ac w paśmie 5GHz,,,,SPE_1_W113_1,Nie,Tak,Nie,Nie,Nie,03,1
PAW115_1,PE_1_W115,AIRNETSPZOO,2205032,0169845,17798,48,54.3994,18.3317,radiowe,WiFi - 802.11ac w paśmie 5GHz,,,,SPE_1_W115_1,Nie,Tak,Nie,Nie,Nie,03,1
PAW118_1,PE_1_W118,AIRNETSPZOO,2215092,0175290,07290,3,54.4525,18.3288,radiowe,WiFi - 802.11ac w paśmie 5GHz,,,,SPE_1_W118_1,Nie,Tak,Nie,Nie,Nie,03,1
PAW142_1,PE_1_W142,AIRNETSPZOO,2205085,0177371,31918,39,54.3755,18.3955,radiowe,WiFi - 802.11ac w paśmie 5GHz,,,,SPE_1_W142_1,Nie,Tak,Nie,Nie,Nie,03,1
PAW149_1,PE_1_W149,AIRNETSPZOO,2215092,0175461,03811,6,54.4413,18.3499,radiowe,WiFi - 802.11ac w paśmie 5GHz,,,,SPE_1_W149_1,Nie,Tak,Nie,Nie,Nie,02,1
PAW149_2,PE_1_W149,AIRNETSPZOO,2215092,0175461,03811,6,54.4413,18.3499,radiowe,WiFi - 802.11ac w paśmie 5GHz,,,,SPE_1_W149_2,Nie,Tak,Nie,Nie,Nie,05,1
PAW151_1,PE_1_W151,AIRNETSPZOO,2205084,0935127,33503,24,54.3444,18.3490,radiowe,WiFi - 802.11ac w paśmie 5GHz,,,,SPE_1_W151_1,Nie,Tak,Nie,Nie,Nie,03,1
