pe01_id_pe,pe02_typ_pe,pe03_id_wezla,pe04_pdu,pe05_terc,pe06_simc,pe07_ulic,pe08_nr_porzadkowy,pe09_szerokosc,pe10_dlugosc,pe11_medium_transmisyjne,pe12_technologia_dostepowa,pe13_mozliwosc_swiadczenia_uslug,pe14_finansowanie_publ,pe15_numery_projektow_publ
PE_1_W42,04,W42,Tak,2205052,0172385,20998,24,54.2707,18.2876,radiowe,WiFi - 802.11ac w paśmie 5GHz,09,Nie,
PE_1_W43,04,W43,Tak,2261011,0933016,21620,12,54.3475,18.4810,radiowe,WiFi - 802.11ac w paśmie 5GHz,09,Nie,
PE_1_W44,04,W44,Tak,2261011,0933016,12618,1,54.4121,18.4458,radiowe,WiFi - 802.11ac w paśmie 5GHz,09,Nie,
PE_1_W45,04,W45,Tak,2261011,0933016,14535,7a,54.4175,18.4561,radiowe,WiFi - 802.11ac w paśmie 5GHz,09,Nie,
PE_1_W46,04,W46,Tak,2261011,0933016,20254,39A,54.3761,18.4296,radiowe,WiFi - 802.11ac w paśmie 5GHz,09,Nie,
PE_1_W47,04,W47,Tak,2205085,0177448,17534,14,54.3815,18.4278,radiowe,WiFi - 802.11ac w paśmie 5GHz,09,Nie,
PE_1_W48,04,W48,Tak,2205085,0177448,00765,25,54.3921,18.4294,radiowe,WiFi - 802.11ac w paśmie 5GHz,09,Nie,
PE_1_W49,04,W49,Tak,2205085,0177230,,3A,54.3626,18.4329,radiowe,WiFi - 802.11ac w paśmie 5GHz,09,Nie,
PE_1_W50,04,W50,Tak,2205085,0177247,13706,26,54.3544,18.4245,radiowe,WiFi - 802.11ac w paśmie 5GHz,09,Nie,
PE_1_W51,04,W51,Tak,2205085,0177276,20254,21,54.3610,18.3680,radiowe,WiFi - 802.11ac w paśmie 5GHz,09,Nie,
PE_1_W52,04,W52,Tak,2205085,0177371,06075,25,54.3648,18.3790,radiowe,WiFi - 802.11ac w paśmie 5GHz,09,Nie,
PE_1_W53,04,W53,Tak,2205085,0177276,15590,3A,54.3698,18.3553,radiowe,WiFi - 802.11ac w paśmie 5GHz,09,Nie,
PE_1_W54,04,W54,Tak,2205085,0177371,05431,75F,54.3740,18.3821,radiowe,WiFi - 802.11ac w paśmie 5GHz,09,Nie,
PE_1_W55,04,W55,Tak,2205085,0177388,,193,54.2849,18.3293,radiowe,WiFi - 802.11ac w paśmie 5GHz,09,Nie,
PE_1_W56,04,W56,Tak,2205085,0177454,20254,43,54.2916,18.3567,radiowe,WiFi - 802.11ac w paśmie 5GHz,09,Nie,
PE_1_W57,04,W57,Tak,2205085,0177106,,21,54.2978,18.3109,radiowe,WiFi - 802.11ac w paśmie 5GHz,09,Nie,
PE_1_W58,04,W58,Tak,2205025,0163245,,3,54.3445,18.2345,radiowe,WiFi - 802.11ac w paśmie 5GHz,09,Nie,
PE_1_W59,04,W59,Tak,2205085,0177402,07535,12,54.3017,18.3989,radiowe,WiFi - 802.11ac w paśmie 5GHz,09,Nie,
PE_1_W60,04,W60,Tak,2205085,0177247,03572,23,54.3499,18.4569,radiowe,WiFi - 802.11ac w paśmie 5GHz,09,Nie,
PE_1_W61,04,W61,Tak,2261011,0933016,11110,16,54.3451,18.5073,radiowe,WiFi - 802.11ac w paśmie 5GHz,09,Nie,
PE_1_W62,04,W62,Tak,2261011,0933016,07804,27,54.3534,18.5126,radiowe,WiFi - 802.11ac w paśmie 5GHz,09,Nie,
PE_1_W63,04,W63,Tak,2261011,0933016,05860,76,54.3453,18.4916,radiowe,WiFi - 802.11ac w paśmie 5GHz,09,Nie,
PE_1_W64,04,W64,Tak,2261011,0933016,39822,16,54.3486,18.4718,radiowe,WiFi - 802.11ac w paśmie 5GHz,09,Nie,
PE_1_W65,04,W65,Tak,2205085,0177514,31475,15C,54.3466,18.3257,radiowe,WiFi - 802.11ac w paśmie 5GHz,09,Nie,
PE_1_W66,04,W66,Tak,2205085,0177164,,23,54.3313,18.3423,radiowe,WiFi - 802.11ac w paśmie 5GHz,09,Nie,
PE_1_W67,04,W67,Tak,2205085,0177276,26081,39,54.3693,18.3265,radiowe,WiFi - 802.11ac w paśmie 5GHz,09,Nie,
PE_1_W68,04,W68,Tak,2205032,0169680,20683,7,54.3822,18.2894,radiowe,WiFi - 802.11ac w paśmie 5GHz,09,Nie,
PE_1_W69,04,W69,Tak,2205032,0169680,10562,5,54.3737,18.2840,radiowe,WiFi - 802.11ac w paśmie 5GHz,09,Nie,
PE_1_W70,04,W70,Tak,2205085,1014464,,22,54.3359,18.4074,radiowe,WiFi - 802.11ac w paśmie 5GHz,09,Nie,
PE_1_W71,04,W71,Tak,2205032,0169874,42307,2,54.3931,18.2551,radiowe,WiFi - 802.11ac w paśmie 5GHz,09,Nie,
PE_1_W72,04,W72,Tak,2205032,0169756,07535,37,54.3577,18.3023,radiowe,WiFi - 802.11ac w paśmie 5GHz,09,Nie,
PE_1_W73,04,W73,Tak,2205032,0169874,03839,77,54.3874,18.2403,radiowe,WiFi - 802.11ac w paśmie 5GHz,09,Nie,
PE_1_W74,04,W74,Tak,2205032,0169526,14372,25,54.3996,18.2270,radiowe,WiFi - 802.11ac w paśmie 5GHz,09,Nie,
PE_1_W75,04,W75,Tak,2205032,0169650,07380,2,54.4173,18.2032,radiowe,WiFi - 802.11ac w paśmie 5GHz,09,Nie,
PE_1_W76,04,W76,Tak,2215092,0175343,04446,1,54.4312,18.2840,radiowe,WiFi - 802.11ac w paśmie 5GHz,09,Nie,
