ua01_id_punktu_adresowego,ua02_id_pe,ua03_id_po,ua04_terc,ua05_simc,ua06_ulic,ua07_nr_porzadkowy,ua08_szerokosc,ua09_dlugosc,ua10_medium_dochodzace_do_pa,ua11_technologia_dostepowa,ua12_instalacja_telekom,ua13_medium_instalacji_budynku,ua14_technologia_dostepowa,ua15_identyfikacja_uslugi,ua16_dostep_stacjonarny,ua17_dostep_stacjonarny_bezprzewodowy,ua18_telewizja_cyfrowa,ua19_radio,ua20_usluga_telefoniczna,ua21_predkosc_uslugi_td,ua22_liczba_uzytkownikow_uslugi_td
"AD0001","P0001","","2261011","0933016","23830","18","54.4261","18.4802","radiowe","WiFi - 802.11ac w paśmie 5GHz","","","","SPE_1_W1_1","Nie","Tak","Nie","Nie","Nie","02","2"
"AD0002","P0001","","2261011","0933016","23830","18","54.4261","18.4802","radiowe","WiFi - 802.11ac w paśmie 5GHz","","","","SPE_1_W1_2","Nie","Tak","Nie","Nie","Nie","03","3"
"AD0003","P0001","","2261011","0933016","23830","18","54.4261","18.4802","radiowe","WiFi - 802.11ac w paśmie 5GHz","","","","SPE_1_W1_3","Nie","Tak","Nie","Nie","Nie","06","2"
"AD0004","P0001","","2261011","0933016","23830","18","54.4261","18.4802","radiowe","WiFi - 802.11ac w paśmie 5GHz","","","","SPE_1_W1_4","Nie","Tak","Nie","Nie","Nie","11","1"
"AD0005","P0002","","2204032","0163989","04801","15","54.3167","18.5512","radiowe","WiFi - 802.11ac w paśmie 5GHz","","","","SPE_1_W2_1","Nie","Tak","Nie","Nie","Nie","04","2"
"AD0006","P0002","","2204032","0163989","04801","15","54.3167","18.5512","radiowe","WiFi - 802.11ac w paśmie 5GHz","","","","SPE_1_W2_2","Nie","Tak","Nie","Nie","Nie","02","1"
"AD0007","P0002","","2204032","0163989","04801","15","54.3167","18.5512","radiowe","WiFi - 802.11ac w paśmie 5GHz","","","","SPE_1_W2_3","Nie","Tak","Nie","Nie","Nie","03","3"
"AD0008","P0002","","2204032","0163989","04801","15","54.3167","18.5512","radiowe","WiFi - 802.11ac w paśmie 5GHz","","","","SPE_1_W2_4","Nie","Tak","Nie","Nie","Nie","05","1"
"AD0009","P0002","","2204032","0163989","04801","15","54.3167","18.5512","radiowe","WiFi - 802.11ac w paśmie 5GHz","","","","SPE_1_W2_5","Nie","Tak","Tak","Nie","Nie","02","1"
"AD0010","P0003","","2261011","0933016","26191","9c","54.3740","18.5237","radiowe","WiFi - 802.11ac w paśmie 5GHz","","","","SPE_1_W3_1","Nie","Tak","Nie","Nie","Nie","03","13"
"AD0011","P0003","","2261011","0933016","26191","9c","54.3740","18.5237","radiowe","WiFi - 802.11ac w paśmie 5GHz","","","","SPE_1_W3_2","Nie","Tak","Nie","Nie","Nie","02","9"
"AD0012","P0003","","2261011","0933016","26191","9c","54.3740","18.5237","radiowe","WiFi - 802.11ac w paśmie 5GHz","","","","SPE_1_W3_3","Nie","Tak","Nie","Nie","Nie","05","2"
"AD0013","P0003","","2261011","0933016","26191","9c","54.3740","18.5237","radiowe","WiFi - 802.11ac w paśmie 5GHz","","","","SPE_1_W3_4","Nie","Tak","Nie","Nie","Nie","04","4"
"AD0014","P0004","","2261011","0933016","29213","13","54.4222","18.4689","radiowe","WiFi - 802.11ac w paśmie 5GHz","","","","SPE_1_W4_1","Nie","Tak","Nie","Nie","Nie","04","4"
"AD0015","P0004","","2261011","0933016","29213","13","54.4222","18.4689","radiowe","WiFi - 802.11ac w paśmie 5GHz","","","","SPE_1_W4_2","Nie","Tak","Nie","Nie","Nie","03","5"
"AD0016","P0004","","2261011","0933016","29213","13","54.4222","18.4689","radiowe","WiFi - 802.11ac w paśmie 5GHz","","","","SPE_1_W4_3","Nie","Tak","Nie","Nie","Nie","02","3"
"AD0017","P0004","","2261011","0933016","29213","13","54.4222","18.4689","radiowe","WiFi - 802.11ac w paśmie 5GHz","","","","SPE_1_W4_4","Nie","Tak","Nie","Nie","Nie","07","1"
"AD0018","P0005","","2261011","0933016","08137","119","54.4251","18.4797","radiowe","WiFi - 802.11ac w paśmie 5GHz","","","","SPE_1_W5_1","Nie","Tak","Nie","Nie","Nie","02","1"
"AD0019","P0005","","2261011","0933016","08137","119","54.4251","18.4797","radiowe","WiFi - 802.11ac w paśmie 5GHz","","","","SPE_1_W5_2","Nie","Tak","Nie","Nie","Nie","03","8"
"AD0020","P0005","","2261011","0933016","08137","119","54.4251","18.4797","radiowe","WiFi - 802.11ac w paśmie 5GHz","","","","SPE_1_W5_3","Nie","Tak","Nie","Nie","Nie","04","1"
"AD0021","P0005","","2261011","0933016","08137","119","54.4251","18.4797","radiowe","WiFi - 802.11ac w paśmie 5GHz","","","","SPE_1_W5_4","Nie","Tak","Nie","Nie","Nie","05","1"
"AD0022","P0006","","2215092","0175120","03509","3","54.4646","18.3729","radiowe","WiFi - 802.11ac w paśmie 5GHz","","","","SPE_1_W6_1","Nie","Tak","Nie","Nie","Nie","03","6"
"AD0023","P0006","","2215092","0175120","03509","3","54.4646","18.3729","radiowe","WiFi - 802.11ac w paśmie 5GHz","","","","SPE_1_W6_2","Nie","Tak","Nie","Nie","Nie","02","3"
"AD0024","P0006","","2215092","0175120","03509","3","54.4646","18.3729","radiowe","WiFi - 802.11ac w paśmie 5GHz","","","","SPE_1_W6_3","Nie","Tak","Nie","Nie","Nie","04","1"
"AD0025","P0006","","2215092","0175120","03509","3","54.4646","18.3729","radiowe","WiFi - 802.11ac w paśmie 5GHz","","","","SPE_1_W6_4","Nie","Tak","Nie","Nie","Nie","05","3"
"AD0026","P0007","","2215092","0175461","20254","6","54.4247","18.3387","radiowe","WiFi - 802.11ac w paśmie 5GHz","","","","SPE_1_W7_1","Nie","Tak","Nie","Nie","Nie","04","1"
"AD0027","P0007","","2215092","0175461","20254","6","54.4247","18.3387","radiowe","WiFi - 802.11ac w paśmie 5GHz","","","","SPE_1_W7_2","Nie","Tak","Nie","Nie","Nie","02","7"
"AD0028","P0007","","2215092","0175461","20254","6","54.4247","18.3387","radiowe","WiFi - 802.11ac w paśmie 5GHz","","","","SPE_1_W7_3","Nie","Tak","Nie","Nie","Nie","03","8"
"AD0029","P0007","","2215092","0175461","20254","6","54.4247","18.3387","radiowe","WiFi - 802.11ac w paśmie 5GHz","","","","SPE_1_W7_4","Nie","Tak","Nie","Nie","Nie","05","2"
"AD0030","P0008","","2261011","0933016","01050","85","54.4263","18.4824","radiowe","WiFi - 802.11ac w paśmie 5GHz","","","","SPE_1_W8_1","Nie","Tak","Nie","Nie","Nie","03","1"
"AD0031","P0008","","2261011","0933016","01050","85","54.4263","18.4824","radiowe","WiFi - 802.11ac w paśmie 5GHz","","","","SPE_1_W8_2","Nie","Tak","Nie","Nie","Nie","02","1"
"AD0032","P0008","","2261011","0933016","01050","85","54.4263","18.4824","radiowe","WiFi - 802.11ac w paśmie 5GHz","","","","SPE_1_W8_3","Nie","Tak","Nie","Nie","Nie","08","1"
"AD0033","P0009","","2215092","0175188","08179","2","54.4490","18.3874","radiowe","WiFi - 802.11ac w paśmie 5GHz","","","","SPE_1_W9_1","Nie","Tak","Nie","Nie","Nie","03","10"
"AD0034","P0009","","2215092","0175188","08179","2","54.4490","18.3874","radiowe","WiFi - 802.11ac w paśmie 5GHz","","","","SPE_1_W9_2","Nie","Tak","Nie","Nie","Nie","05","3"
"AD0035","P0009","","2215092","0175188","08179","2","54.4490","18.3874","radiowe","WiFi - 802.11ac w paśmie 5GHz","","","","SPE_1_W9_3","Nie","Tak","Nie","Nie","Nie","04","3"
"AD0036","P0009","","2215092","0175188","08179","2","54.4490","18.3874","radiowe","WiFi - 802.11ac w paśmie 5GHz","","","","SPE_1_W9_4","Nie","Tak","Nie","Nie","Nie","02","2"
"AD0037","P0009","","2215092","0175188","08179","2","54.4490","18.3874","radiowe","WiFi - 802.11ac w paśmie 5GHz","","","","SPE_1_W9_5","Nie","Tak","Tak","Nie","Nie","02","1"
"AD0038","P0010","","2215092","0175290","19908","58","54.4608","18.3075","radiowe","WiFi - 802.11ac w paśmie 5GHz","","","","SPE_1_W10_1","Nie","Tak","Nie","Nie","Nie","03","4"
"AD0039","P0010","","2215092","0175290","19908","58","54.4608","18.3075","radiowe","WiFi - 802.11ac w paśmie 5GHz","","","","SPE_1_W10_2","Nie","Tak","Nie","Nie","Nie","02","1"
"AD0040","P0010","","2215092","0175290","19908","58","54.4608","18.3075","radiowe","WiFi - 802.11ac w paśmie 5GHz","","","","SPE_1_W10_3","Nie","Tak","Nie","Nie","Nie","04","2"
"AD0041","P0011","","2215092","0175290","02462","5","54.4572","18.3357","radiowe","WiFi - 802.11ac w paśmie 5GHz","","","","SPE_1_W11_1","Nie","Tak","Nie","Nie","Nie","03","20"
"AD0042","P0011","","2215092","0175290","02462","5","54.4572","18.3357","radiowe","WiFi - 802.11ac w paśmie 5GHz","","","","SPE_1_W11_2","Nie","Tak","Nie","Nie","Nie","02","4"
