pe01_id_pe,pe02_typ_pe,pe03_id_wezla,pe04_pdu,pe05_terc,pe06_simc,pe07_ulic,pe08_nr_porzadkowy,pe09_szerokosc,pe10_dlugosc,pe11_medium_transmisyjne,pe12_technologia_dostepowa,pe13_mozliwosc_swiadczenia_uslug,pe14_finansowanie_publ,pe15_numery_projektow_publ
"P0040","04","WW_W0040","Tak","2205052","1014441","","5","54.2594","18.2507","radiowe","WiFi - 802.11ac w paśmie 5GHz","09","Nie",""
"P0041","04","WW_W0041","Tak","2205052","1014441","","35","54.2746","18.2462","radiowe","WiFi - 802.11ac w paśmie 5GHz","09","Nie",""
"P0042","04","WW_W0042","Tak","2205052","0172385","20998","24","54.2707","18.2876","radiowe","WiFi - 802.11ac w paśmie 5GHz","09","Nie",""
"P0043","04","WW_W0043","Tak","2261011","0933016","21620","12","54.3475","18.4810","radiowe","WiFi - 802.11ac w paśmie 5GHz","09","Nie",""
"P0044","04","WW_W0044","Tak","2261011","0933016","12618","1","54.4121","18.4458","radiowe","WiFi - 802.11ac w paśmie 5GHz","09","Nie",""
"P0045","04","WW_W0045","Tak","2261011","0933016","14535","7a","54.4175","18.4561","radiowe","WiFi - 802.11ac w paśmie 5GHz","09","Nie",""
"P0046","04","WW_W0046","Tak","2261011","0933016","20254","39A","54.3761","18.4296","radiowe","WiFi - 802.11ac w paśmie 5GHz","09","Nie",""
"P0047","04","WW_W0047","Tak","2205085","0177448","17534","14","54.3815","18.4278","radiowe","WiFi - 802.11ac w paśmie 5GHz","09","Nie",""
"P0048","04","WW_W0048","Tak","2205085","0177448","00765","25","54.3921","18.4294","radiowe","WiFi - 802.11ac w paśmie 5GHz","09","Nie",""
"P0049","04","WW_W0049","Tak","2205085","0177230","","3A","54.3626","18.4329","radiowe","WiFi - 802.11ac w paśmie 5GHz","09","Nie",""
"P0050","04","WW_W0050","Tak","2205085","0177247","13706","26","54.3544","18.4245","radiowe","WiFi - 802.11ac w paśmie 5GHz","09","Nie",""
"P0051","04","WW_W0051","Tak","2205085","0177276","20254","21","54.3610","18.3680","radiowe","WiFi - 802.11ac w paśmie 5GHz","09","Nie",""
"P0052","04","WW_W0052","Tak","2205085","0177371","06075","25","54.3648","18.3790","radiowe","WiFi - 802.11ac w paśmie 5GHz","09","Nie",""
"P0053","04","WW_W0053","Tak","2205085","0177276","15590","3A","54.3698","18.3553","radiowe","WiFi - 802.11ac w paśmie 5GHz","09","Nie",""
"P0054","04","WW_W0054","Tak","2205085","0177371","05431","75F","54.3740","18.3821","radiowe","WiFi - 802.11ac w paśmie 5GHz","09","Nie",""
"P0055","04","WW_W0055","Tak","2205085","0177388","","193","54.2849","18.3293","radiowe","WiFi - 802.11ac w paśmie 5GHz","09","Nie",""
"P0056","04","WW_W0056","Tak","2205085","0177454","20254","43","54.2916","18.3567","radiowe","WiFi - 802.11ac w paśmie 5GHz","09","Nie",""
"P0057","04","WW_W0057","Tak","2205085","0177106","","21","54.2978","18.3109","radiowe","WiFi - 802.11ac w paśmie 5GHz","09","Nie",""
"P0058","04","WW_W0058","Tak","2205025","0163245","","3","54.3445","18.2345","radiowe","WiFi - 802.11ac w paśmie 5GHz","09","Nie",""
"P0059","04","WW_W0059","Tak","2205085","0177402","07535","12","54.3017","18.3989","radiowe","WiFi - 802.11ac w paśmie 5GHz","09","Nie",""
"P0060","04","WW_W0060","Tak","2205085","0177247","03572","23","54.3499","18.4569","radiowe","WiFi - 802.11ac w paśmie 5GHz","09","Nie",""
"P0061","04","WW_W0061","Tak","2261011","0933016","11110","16","54.3451","18.5073","radiowe","WiFi - 802.11ac w paśmie 5GHz","09","Nie",""
"P0062","04","WW_W0062","Tak","2261011","0933016","07804","27","54.3534","18.5126","radiowe","WiFi - 802.11ac w paśmie 5GHz","09","Nie",""
"P0063","04","WW_W0063","Tak","2261011","0933016","05860","76","54.3453","18.4916","radiowe","WiFi - 802.11ac w paśmie 5GHz","09","Nie",""
"P0064","04","WW_W0064","Tak","2261011","0933016","39822","16","54.3486","18.4718","radiowe","WiFi - 802.11ac w paśmie 5GHz","09","Nie",""
"P0065","04","WW_W0065","Tak","2205085","0177514","31475","15C","54.3466","18.3257","radiowe","WiFi - 802.11ac w paśmie 5GHz","09","Nie",""
"P0066","04","WW_W0066","Tak","2205085","0177164","","23","54.3313","18.3423","radiowe","WiFi - 802.11ac w paśmie 5GHz","09","Nie",""
"P0067","04","WW_W0067","Tak","2205085","0177276","26081","39","54.3693","18.3265","radiowe","WiFi - 802.11ac w paśmie 5GHz","09","Nie",""
"P0068","04","WW_W0068","Tak","2205032","0169680","20683","7","54.3822","18.2894","radiowe","WiFi - 802.11ac w paśmie 5GHz","09","Nie",""
"P0069","04","WW_W0069","Tak","2205032","0169680","10562","5","54.3737","18.2840","radiowe","WiFi - 802.11ac w paśmie 5GHz","09","Nie",""
"P0070","04","WW_W0070","Tak","2205085","1014464","","22","54.3359","18.4074","radiowe","WiFi - 802.11ac w paśmie 5GHz","09","Nie",""
"P0071","04","WW_W0071","Tak","2205032","0169874","42307","2","54.3931","18.2551","radiowe","WiFi - 802.11ac w paśmie 5GHz","09","Nie",""
